recommendation_type,entity_type,entity_id,forecast_demand,average_forecast_demand,priority,recommendation,business_reason
Normal Capacity Planning,Month,2027-01,878.65,806.67,LOW,Maintain normal operational capacity and monitor demand.,Forecast demand is close to the expected average.
Peak Capacity Planning,Month,2027-02,899.67,806.67,HIGH,"Increase vehicle availability, seat capacity and operator coverage.",Forecast demand is significantly above the six-month average.
Normal Capacity Planning,Month,2027-03,767.4,806.67,LOW,Maintain normal operational capacity and monitor demand.,Forecast demand is close to the expected average.
Normal Capacity Planning,Month,2027-04,763.29,806.67,LOW,Maintain normal operational capacity and monitor demand.,Forecast demand is close to the expected average.
Normal Capacity Planning,Month,2027-05,762.4,806.67,LOW,Maintain normal operational capacity and monitor demand.,Forecast demand is close to the expected average.
Normal Capacity Planning,Month,2027-06,768.6,806.67,LOW,Maintain normal operational capacity and monitor demand.,Forecast demand is close to the expected average.
