customer_value_segment,customers,total_revenue,average_revenue,average_bookings,average_tickets,average_clv,average_projected_clv,revenue_share
High Value,1201,9860192.27,8209.985237302248,3.762697751873439,8.223980016652789,8209.985237302248,12542.201266069244,27.897239309843265
Low Value,1201,2634600.84,2193.6726394671105,1.816819317235637,2.7793505412156536,2193.6726394671105,11107.804509472457,7.4540220014790926
Medium Value,1200,6177814.31,5148.178591666667,2.885,5.575,5148.178591666667,13451.807133114993,17.478763040169827
VIP,1201,16672080.85,13881.83251457119,5.138218151540383,12.540383014154871,13881.83251457119,13169.685574458212,47.16997564850782
