segment,customers,total_bookings,total_revenue,average_recency,average_frequency,average_monetary,average_rfm_score,revenue_percentage
Champions,808,4440,10407905.25,91.74257425742574,5.4950495049504955,12881.070853960397,13.746287128712872,29.446872385727225
At Risk,825,3306,7287365.21,361.45575757575756,4.007272727272727,8833.169951515152,8.973333333333333,20.61799259433672
Loyal Customers,659,3156,5852191.13,154.49013657056145,4.78907435508346,8880.411426403642,11.48103186646434,16.55748407029309
Need Attention,906,1951,3607062.28,245.67439293598235,2.1534216335540837,3981.304944812362,6.303532008830022,10.205387164389325
Big Spenders,270,850,2779001.4,128.61481481481482,3.1481481481481484,10292.597777777777,10.985185185185186,7.862571537683559
Lost Customers,680,1099,2519874.02,533.9602941176471,1.6161764705882353,3705.6970882352944,4.2176470588235295,7.129427767902619
Potential Loyalists,376,1058,2040833.21,94.27925531914893,2.8138297872340425,5427.74789893617,9.53191489361702,5.774087451019412
New Customers,279,474,850455.77,96.12544802867383,1.6989247311827957,3048.228566308244,7.247311827956989,2.406177028648045
